epoch,acc,loss,val_acc,val_loss
5,0.836460345605,0.434489101862,0.801651143099,0.522211532608
6,0.843737595597,0.417929037835,0.819009314141,0.477914272933
7,0.847336526504,0.408702577374,0.817739204064,0.481334606389
8,0.853105401044,0.398686897883,0.803450465707,0.522370379259
9,0.8534494165,0.391687281992,0.818691786622,0.47241883639
10,0.858397946494,0.384000092244,0.82250211685,0.472509046576
11,0.859826933764,0.377460147064,0.819961896698,0.471770621688
12,0.863637566488,0.370782012524,0.815516511431,0.493841302878
13,0.868347931939,0.361451893545,0.810224386113,0.498540920561
14,0.871602847389,0.353145538843,0.812552921253,0.498150079023
15,0.874460821932,0.34644189323,0.808954276037,0.511125602685
16,0.880414935563,0.33194823024,0.81234123624,0.492917104653
17,0.883114133743,0.32586726693,0.795723962743,0.548739169408
18,0.88324644738,0.32276615798,0.813399661304,0.504436150749
19,0.886448437379,0.317823149313,0.811917866215,0.501625323755
20,0.889253486464,0.309703453213,0.804932260796,0.528044908573
21,0.890814787375,0.307362405732,0.808636748518,0.516104742778
22,0.894969435553,0.300092809181,0.807790008467,0.51812035603
23,0.894942972826,0.296996847224,0.808848433531,0.519376490611
24,0.897298155548,0.29263816005,0.810224386113,0.518326618225
25,0.897165841915,0.293153308864,0.811176968671,0.517133541852
26,0.899468099182,0.288444077992,0.80916596105,0.521865113975
27,0.901743893727,0.285578463636,0.808848433531,0.530765915548
28,0.904813570087,0.280091021371,0.810118543607,0.521665098616
29,0.903490433724,0.278106305457,0.810224386113,0.524183475024
30,0.904337240996,0.275431267217,0.809695173582,0.523489790763
31,0.903807986454,0.274574464241,0.815728196444,0.50839904692
32,0.906163169178,0.271849846887,0.811388653683,0.521734283355
33,0.90603085554,0.27144024983,0.816045723963,0.504253220816
34,0.908174336447,0.270627545962,0.810436071126,0.527862284697
35,0.907353991904,0.267604966666,0.814246401355,0.510319755954
36,0.909762100084,0.266776474824,0.807578323455,0.536410639555
37,0.908835904628,0.266183449488,0.80916596105,0.529374658686
38,0.909576860993,0.266258694365,0.814246401355,0.516663327935
39,0.910767683717,0.263489025807,0.810965283658,0.522804388712
40,0.912646537352,0.259917607273,0.810541913633,0.524320326746
