epoch,acc,loss,val_acc,val_loss
0,0.424435682345,1.5170164122,0.619072819644,0.949443309364
1,0.55315038768,1.10427164445,0.56350550381,1.08353163149
2,0.597131440369,0.989974514127,0.646380186283,0.87796621952
3,0.625049617614,0.914972617269,0.446126164268,1.32444601456
4,0.646113948504,0.855625208331,0.653048264183,0.884085163007
5,0.671385853026,0.80499748684,0.648602878916,0.90373736307
6,0.693746857553,0.75900962269,0.610076206605,0.963515412318
7,0.738548254785,0.633833503402,0.68067315834,0.815092327343
8,0.751356214772,0.607611111563,0.635266723116,0.940874189908
9,0.759480272038,0.585900723988,0.675592718036,0.828727138436
10,0.765010982033,0.572891261099,0.684377646063,0.820157887343
11,0.772182381119,0.556333726447,0.697607959356,0.790085964466
