epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.441927545054,1.43835074152,0.981158538199,0.430779000847,1.55343701736,0.99449618967
1,0.556590542224,1.0913880317,0.997433115457,0.62849280271,0.958885122315,0.998200677392
2,0.594220540369,0.98480082416,0.998279922729,0.642464013548,0.888398534155,0.998729889924
3,0.621450686708,0.917769228282,0.998809177274,0.719093988146,0.721615592092,0.999259102456
4,0.652438540318,0.855355771413,0.999179655455,0.664690939881,0.854976310001,0.99883573243
5,0.679192357565,0.791844293435,0.999311969092,0.587743437765,0.996270505959,0.999364944962
6,0.699595120274,0.743338612425,0.999497208182,0.615791701948,0.94367036178,0.999576629975
7,0.720553600257,0.686275813588,0.999497208182,0.585203217612,1.08529946146,0.998624047417
8,0.737780835693,0.638556539782,0.99970891,0.637066045724,0.95913164686,0.999047417443
9,0.792638069281,0.502735901146,0.999867686364,0.721951735817,0.701207419165,0.999788314987
10,0.800682738365,0.467889333403,0.999894149091,0.723221845893,0.697347422262,0.999682472481
11,0.805102013815,0.450691568282,0.999867686364,0.737510584251,0.676991719163,0.999576629975
12,0.813808251078,0.42983534009,0.999973537273,0.733488569009,0.697974911018,0.999576629975
13,0.818359840168,0.412731927157,0.999973537273,0.741532599492,0.666483314788,0.999682472481
14,0.821508904709,0.397825100834,0.999920611818,0.749470787468,0.649043795431,0.999576629975
15,0.829288946519,0.376998203556,0.999894149091,0.735076206605,0.689863641947,0.999576629975
16,0.831961681973,0.366269542282,0.999947074546,0.74216765453,0.670268099462,0.999682472481
17,0.837942258332,0.351163163128,1.0,0.744072819644,0.676848829505,0.999682472481
18,0.842943713779,0.337493650686,0.999973537273,0.765876375953,0.618619918921,0.999788314987
19,0.846622032867,0.323964044958,0.999973537273,0.711155800169,0.780383378375,0.999153259949
20,0.850803143772,0.307072331012,0.999947074546,0.762277730737,0.64215202375,0.999682472481
21,0.857921617402,0.293684953793,0.999920611818,0.732853513971,0.720573457455,0.999470787468
22,0.861414697402,0.278369343751,0.999973537273,0.750423370025,0.678530444169,0.999576629975
23,0.86824208103,0.264656396677,0.999973537273,0.753598645216,0.675691111491,0.999470787468
24,0.870147397391,0.255360107618,1.0,0.754551227773,0.672702965026,0.999470787468
25,0.876524914659,0.239740308305,1.0,0.749682472481,0.696390284372,0.999364944962
26,0.881155891926,0.226631007164,1.0,0.770427603726,0.644093895661,0.999788314987
27,0.883537537379,0.219765944122,1.0,0.753704487722,0.691123881755,0.999576629975
28,0.890470771918,0.207073709189,0.999973537273,0.751587637595,0.707024402863,0.999470787468
29,0.893487522824,0.19416993646,1.0,0.750529212532,0.724137084992,0.999576629975
30,0.899865040093,0.186069447734,1.0,0.735393734124,0.763798112717,0.999576629975
31,0.902908253725,0.172211388498,1.0,0.757197290432,0.707000092732,0.999470787468
32,0.909867950991,0.162406226524,1.0,0.745448772227,0.746782115983,0.999682472481
33,0.914551853714,0.155662650025,1.0,0.73983911939,0.764508324285,0.999682472481
34,0.918071396438,0.146953251081,1.0,0.757620660457,0.709319841019,0.999364944962
35,0.922834687343,0.137093833594,1.0,0.767569856054,0.694275507468,0.999470787468
36,0.927412739157,0.128150713881,1.0,0.761960203218,0.737711068328,0.999470787468
37,0.932281880971,0.121126152086,1.0,0.756456392887,0.749312625632,0.999682472481
38,0.936939320966,0.113003226273,1.0,0.737087214225,0.81341533066,0.999364944962
39,0.940988118235,0.107179872138,1.0,0.762489415749,0.733942317777,0.999470787468
40,0.943872555507,0.100346022257,1.0,0.769051651143,0.732501590921,0.999576629975
41,0.949879594591,0.0927523912728,1.0,0.755821337849,0.780019248895,0.999259102456
42,0.950647013681,0.0879714814453,1.0,0.767675698561,0.761231121171,0.999364944962
43,0.954537034587,0.0819982588283,1.0,0.763441998307,0.787188061154,0.999576629975
44,0.958612294583,0.0763296917204,1.0,0.774237933954,0.73515919037,0.999576629975
45,0.961946598216,0.0708148790504,1.0,0.758784928027,0.816157905921,0.999470787468
46,0.965598454577,0.0666321696071,1.0,0.759737510584,0.816587284452,0.999682472481
47,0.968535817301,0.0617486510249,1.0,0.763653683319,0.821002147207,0.999470787468
48,0.972002434571,0.057838201464,1.0,0.75783234547,0.851341792534,0.999576629975
49,0.97210828548,0.055464068971,1.0,0.770850973751,0.810632127213,0.999470787468
50,0.976765725477,0.049983122863,1.0,0.756350550381,0.877235555845,0.999364944962
51,0.977718383657,0.0469778447604,1.0,0.769369178662,0.805658225414,0.999576629975
52,0.979359072748,0.0439952838485,1.0,0.761748518205,0.870171099936,0.999364944962
53,0.982164121834,0.0411345678059,1.0,0.770321761219,0.831657279515,0.999470787468
54,0.983063854561,0.0389936183974,1.0,0.7633361558,0.863449575088,0.999470787468
55,0.985657201831,0.0355917914707,1.0,0.772438611346,0.840363295009,0.999576629975
56,0.985815978195,0.0331230869934,1.0,0.747248094835,0.919391616077,0.999576629975
57,0.988250549102,0.031402456773,1.0,0.75349280271,0.901768832134,0.999470787468
58,0.988753340919,0.0294945767529,1.0,0.764288738357,0.910146956996,0.999470787468
59,0.991214374553,0.0266323444963,1.0,0.771380186283,0.883475201489,0.999576629975
60,0.992193495463,0.0251699684316,1.0,0.76883996613,0.902897431526,0.999682472481
61,0.992828600916,0.0230986537065,1.0,0.771909398815,0.886093785774,0.999470787468
0,0.808648019243,0.464349052531,0.999947074546,0.759843353091,0.628046049343,0.999894157494
1,0.820212231079,0.429317079168,0.999973537273,0.756562235394,0.633912207664,0.999894157494
2,0.825319537452,0.410424932456,0.999973537273,0.742379339543,0.669045659317,0.999682472481
3,0.827912884708,0.397099917859,0.999947074546,0.765982218459,0.6057165417,0.999788314987
4,0.833364206521,0.382184743052,0.999973537273,0.747777307367,0.656250308672,0.999682472481
5,0.838233348318,0.368920660105,1.0,0.763441998307,0.619484231696,0.999788314987
6,0.842149831982,0.35726495286,0.999973537273,0.758361558002,0.6379173665,0.999576629975
7,0.847680541974,0.343090634262,0.999947074546,0.748200677392,0.66985246683,0.999470787468
8,0.850035724671,0.331679424208,0.999947074546,0.752434377646,0.665325271639,0.999364944962
9,0.855434121061,0.312123516002,0.999973537273,0.766299745978,0.622333058455,0.999470787468
10,0.85879488739,0.311450709597,0.999973537273,0.76883996613,0.616971279886,0.999576629975
11,0.859721082844,0.309434943628,0.999947074546,0.764288738357,0.629073661631,0.999470787468
12,0.861123607402,0.30795358975,0.999947074546,0.765982218459,0.625548206831,0.999470787468
13,0.858450871967,0.307680896646,1.0,0.767781541067,0.622161696918,0.999470787468
14,0.860779591965,0.30532504908,0.999973537273,0.767569856054,0.622634432358,0.999470787468
15,0.860065098287,0.306313667095,0.999973537273,0.762701100762,0.638460581733,0.999470787468
16,0.861520548314,0.302897874914,0.999973537273,0.765982218459,0.626681880109,0.999470787468
17,0.860858980144,0.303282972607,0.999973537273,0.762595258256,0.637177024122,0.999470787468
18,0.861996877401,0.29898168853,0.999973537273,0.765982218459,0.62987119449,0.999470787468
19,0.861520548311,0.29942681554,1.0,0.764077053345,0.635685525084,0.999470787468
20,0.863372939221,0.297788788325,0.999947074546,0.763971210838,0.632642305422,0.999470787468
21,0.864722538311,0.296164981497,0.999920611818,0.764606265876,0.633583347339,0.999470787468
22,0.863955119204,0.29383913795,0.999973537273,0.767040643522,0.62695216315,0.999470787468
23,0.86421974649,0.294738715453,0.999973537273,0.767146486029,0.628762826891,0.999470787468
24,0.865807510125,0.292667732883,0.999973537273,0.767146486029,0.630174037867,0.999576629975
25,0.864643150112,0.291530568789,0.999973537273,0.76682895851,0.627524603332,0.999470787468
26,0.864854851927,0.291422949721,0.999973537273,0.76799322608,0.628222256016,0.999470787468
27,0.864008044658,0.289913385051,0.999947074546,0.766511430991,0.632563639858,0.999470787468
28,0.867077721022,0.28849248017,1.0,0.764606265876,0.638066031689,0.999470787468
29,0.867183571942,0.286022734022,0.999973537273,0.766723116003,0.63187851818,0.999470787468
30,0.867157109229,0.285518472181,1.0,0.766723116003,0.631855971424,0.999470787468
31,0.867845140137,0.284644261822,0.999947074546,0.769580863675,0.624852291767,0.999470787468
32,0.868162692868,0.282467128905,1.0,0.767358171041,0.635486756514,0.999470787468
33,0.866680780142,0.285128864305,0.999973537273,0.768945808637,0.628200140573,0.999470787468
34,0.869697531017,0.27974878049,0.999947074546,0.771380186283,0.621240321304,0.999470787468
35,0.870200322834,0.279333751689,0.999973537273,0.76799322608,0.627471834144,0.999470787468
36,0.869247664667,0.277993051787,0.999973537273,0.76883996613,0.628492484549,0.999470787468
37,0.869035962867,0.277137827248,0.999947074546,0.765135478408,0.637531367426,0.999470787468
38,0.869274127395,0.277277496312,0.999973537273,0.76799322608,0.630129060031,0.999470787468
39,0.87133822012,0.273260956489,0.999973537273,0.766934801016,0.636296409101,0.999470787468
40,0.872079176483,0.27353033411,1.0,0.768310753599,0.63370554433,0.999470787468
41,0.87398449282,0.270805047364,0.999973537273,0.767464013548,0.634570292857,0.999470787468
42,0.873402312828,0.271345009406,1.0,0.766617273497,0.635691913985,0.999470787468
43,0.87387864195,0.271305131497,0.999973537273,0.770533446232,0.623451242247,0.999470787468
44,0.873137685573,0.269692157338,1.0,0.768945808637,0.632852863498,0.999470787468
45,0.873058297391,0.266847811754,1.0,0.770850973751,0.626902085104,0.999470787468
46,0.873666940118,0.266391338363,0.999973537273,0.765770533446,0.643535812511,0.999364944962
47,0.874063881009,0.265320580643,0.999947074546,0.769263336156,0.630692087272,0.999470787468
48,0.874037418299,0.265151099312,0.999973537273,0.772121083827,0.629958117543,0.999470787468
49,0.875360554662,0.26331283736,1.0,0.768628281118,0.634622094088,0.999364944962
50,0.875942734647,0.259205249714,0.999973537273,0.768204911092,0.634403266713,0.999364944962
51,0.876127973752,0.261770237613,1.0,0.770639288738,0.630160697227,0.999470787468
52,0.875360554676,0.259003526032,1.0,0.770321761219,0.630659443105,0.999470787468
53,0.877345259223,0.257484218312,0.999973537273,0.767040643522,0.640043731366,0.999364944962
54,0.877212945572,0.257639034376,0.999947074546,0.768628281118,0.633027839368,0.999470787468
55,0.878218529219,0.256043292971,1.0,0.771591871296,0.629550502777,0.999470787468
56,0.877318796478,0.255227633217,0.999947074546,0.771591871296,0.627048628245,0.999576629975
57,0.877212945569,0.253557628614,0.999973537273,0.771486028789,0.627407365033,0.999470787468
